,success,method,level,cost,exploredNodes,frontierNodes,runtime
0,True,dfs,level1.txt,3,22,1,0.0
1,True,dfs,level1.txt,3,22,1,0.0
2,True,dfs,level1.txt,3,22,1,0.0
3,True,dfs,level1.txt,3,22,1,0.0009443759918212891
4,True,dfs,level1.txt,3,22,1,0.0
5,True,dfs,level1.txt,3,22,1,0.0010035037994384766
6,True,dfs,level1.txt,3,22,1,0.0
7,True,dfs,level1.txt,3,22,1,0.0
8,True,dfs,level1.txt,3,22,1,0.0
9,True,dfs,level1.txt,3,22,1,0.0010347366333007812
10,True,dfs,level1.txt,3,22,1,0.0
11,True,dfs,level1.txt,3,22,1,0.0009675025939941406
12,True,dfs,level1.txt,3,22,1,0.0010497570037841797
13,True,dfs,level1.txt,3,22,1,0.0
14,True,dfs,level1.txt,3,22,1,0.0
15,True,dfs,level1.txt,3,22,1,0.0
16,True,dfs,level1.txt,3,22,1,0.0
17,True,dfs,level1.txt,3,22,1,0.0
18,True,dfs,level1.txt,3,22,1,0.001001119613647461
19,True,dfs,level1.txt,3,22,1,0.0
20,True,bfs,level1.txt,3,7,1,0.0
21,True,bfs,level1.txt,3,7,1,0.0
22,True,bfs,level1.txt,3,7,1,0.0
23,True,bfs,level1.txt,3,7,1,0.0
24,True,bfs,level1.txt,3,7,1,0.0
25,True,bfs,level1.txt,3,7,1,0.0
26,True,bfs,level1.txt,3,7,1,0.0
27,True,bfs,level1.txt,3,7,1,0.0
28,True,bfs,level1.txt,3,7,1,0.0010154247283935547
29,True,bfs,level1.txt,3,7,1,0.0
30,True,bfs,level1.txt,3,7,1,0.0
31,True,bfs,level1.txt,3,7,1,0.0
32,True,bfs,level1.txt,3,7,1,0.0
33,True,bfs,level1.txt,3,7,1,0.0
34,True,bfs,level1.txt,3,7,1,0.0
35,True,bfs,level1.txt,3,7,1,0.0
36,True,bfs,level1.txt,3,7,1,0.0
37,True,bfs,level1.txt,3,7,1,0.0
38,True,bfs,level1.txt,3,7,1,0.0
39,True,bfs,level1.txt,3,7,1,0.0
80,True,dfs,level2.txt,1698,19064,706,0.2826054096221924
81,True,dfs,level2.txt,1698,19064,706,0.21596527099609375
82,True,dfs,level2.txt,1698,19064,706,0.19834423065185547
83,True,dfs,level2.txt,1698,19064,706,0.19804930686950684
84,True,dfs,level2.txt,1698,19064,706,0.24223804473876953
85,True,dfs,level2.txt,1698,19064,706,0.2044541835784912
86,True,dfs,level2.txt,1698,19064,706,0.19796466827392578
87,True,dfs,level2.txt,1698,19064,706,0.2002112865447998
88,True,dfs,level2.txt,1698,19064,706,0.20201706886291504
89,True,dfs,level2.txt,1698,19064,706,0.25956296920776367
90,True,dfs,level2.txt,1698,19064,706,0.22006869316101074
91,True,dfs,level2.txt,1698,19064,706,0.20021605491638184
92,True,dfs,level2.txt,1698,19064,706,0.20000171661376953
93,True,dfs,level2.txt,1698,19064,706,0.24196672439575195
94,True,dfs,level2.txt,1698,19064,706,0.20499396324157715
95,True,dfs,level2.txt,1698,19064,706,0.20200300216674805
96,True,dfs,level2.txt,1698,19064,706,0.21270537376403809
97,True,dfs,level2.txt,1698,19064,706,0.2579808235168457
98,True,dfs,level2.txt,1698,19064,706,0.2249469757080078
99,True,dfs,level2.txt,1698,19064,706,0.20856237411499023
100,True,bfs,level2.txt,78,58804,54,0.9347307682037354
101,True,bfs,level2.txt,78,58804,54,0.7306885719299316
102,True,bfs,level2.txt,78,58804,54,0.6995892524719238
103,True,bfs,level2.txt,78,58804,54,0.764812707901001
104,True,bfs,level2.txt,78,58804,54,0.7292888164520264
105,True,bfs,level2.txt,78,58804,54,0.7081735134124756
106,True,bfs,level2.txt,78,58804,54,0.7531235218048096
107,True,bfs,level2.txt,78,58804,54,0.70717453956604
108,True,bfs,level2.txt,78,58804,54,0.7600653171539307
109,True,bfs,level2.txt,78,58804,54,0.7044856548309326
110,True,bfs,level2.txt,78,58804,54,0.6930148601531982
111,True,bfs,level2.txt,78,58804,54,0.7487726211547852
112,True,bfs,level2.txt,78,58804,54,0.6993169784545898
113,True,bfs,level2.txt,78,58804,54,0.6923906803131104
114,True,bfs,level2.txt,78,58804,54,0.7522356510162354
115,True,bfs,level2.txt,78,58804,54,0.6962029933929443
116,True,bfs,level2.txt,78,58804,54,0.7668547630310059
117,True,bfs,level2.txt,78,58804,54,0.7241191864013672
118,True,bfs,level2.txt,78,58804,54,0.7221837043762207
119,True,bfs,level2.txt,78,58804,54,0.7470331192016602
160,True,dfs,level3.txt,14,102,9,0.0010001659393310547
161,True,dfs,level3.txt,14,102,9,0.0010001659393310547
162,True,dfs,level3.txt,14,102,9,0.0010004043579101562
