,success,method,level,cost,exploredNodes,frontierNodes,runtime
40,True,greedy(manhattan),level1.txt,3,6,1,0.0
41,True,greedy(manhattan),level1.txt,3,6,1,0.0
42,True,greedy(manhattan),level1.txt,3,6,1,0.0
43,True,greedy(manhattan),level1.txt,3,6,1,0.0
44,True,greedy(manhattan),level1.txt,3,6,1,0.0010423660278320312
45,True,greedy(manhattan),level1.txt,3,6,1,0.0
46,True,greedy(manhattan),level1.txt,3,6,1,0.0
47,True,greedy(manhattan),level1.txt,3,6,1,0.0
48,True,greedy(manhattan),level1.txt,3,6,1,0.0
49,True,greedy(manhattan),level1.txt,3,6,1,0.0
50,True,greedy(combined),level1.txt,3,6,1,0.0
51,True,greedy(combined),level1.txt,3,6,1,0.0
52,True,greedy(combined),level1.txt,3,6,1,0.0015103816986083984
53,True,greedy(combined),level1.txt,3,6,1,0.0
54,True,greedy(combined),level1.txt,3,6,1,0.0010073184967041016
55,True,greedy(combined),level1.txt,3,6,1,0.0
56,True,greedy(combined),level1.txt,3,6,1,0.0
57,True,greedy(combined),level1.txt,3,6,1,0.0
58,True,greedy(combined),level1.txt,3,6,1,0.001003265380859375
59,True,greedy(combined),level1.txt,3,6,1,0.0
60,True,astar(manhattan),level1.txt,3,7,1,0.0
61,True,astar(manhattan),level1.txt,3,7,1,0.0
62,True,astar(manhattan),level1.txt,3,7,1,0.0
63,True,astar(manhattan),level1.txt,3,7,1,0.0
64,True,astar(manhattan),level1.txt,3,7,1,0.0
65,True,astar(manhattan),level1.txt,3,7,1,0.0
66,True,astar(manhattan),level1.txt,3,7,1,0.0
67,True,astar(manhattan),level1.txt,3,7,1,0.0
68,True,astar(manhattan),level1.txt,3,7,1,0.0
69,True,astar(manhattan),level1.txt,3,7,1,0.0
70,True,astar(combined),level1.txt,3,7,1,0.0
71,True,astar(combined),level1.txt,3,7,1,0.0
72,True,astar(combined),level1.txt,3,7,1,0.0
73,True,astar(combined),level1.txt,3,7,1,0.0
74,True,astar(combined),level1.txt,3,7,1,0.0
75,True,astar(combined),level1.txt,3,7,1,0.0
76,True,astar(combined),level1.txt,3,7,1,0.0
77,True,astar(combined),level1.txt,3,7,1,0.0
78,True,astar(combined),level1.txt,3,7,1,0.0010020732879638672
79,True,astar(combined),level1.txt,3,7,1,0.0
120,True,greedy(manhattan),level2.txt,104,1339,119,0.024161100387573242
121,True,greedy(manhattan),level2.txt,104,1339,119,0.12372899055480957
122,True,greedy(manhattan),level2.txt,104,1339,119,0.02319192886352539
123,True,greedy(manhattan),level2.txt,104,1339,119,0.023150920867919922
124,True,greedy(manhattan),level2.txt,104,1339,119,0.027173519134521484
125,True,greedy(manhattan),level2.txt,104,1339,119,0.025889158248901367
126,True,greedy(manhattan),level2.txt,104,1339,119,0.01903057098388672
127,True,greedy(manhattan),level2.txt,104,1339,119,0.020026206970214844
128,True,greedy(manhattan),level2.txt,104,1339,119,0.02408146858215332
129,True,greedy(manhattan),level2.txt,104,1339,119,0.020128965377807617
130,True,greedy(combined),level2.txt,104,1341,117,0.03585362434387207
131,True,greedy(combined),level2.txt,104,1341,117,0.028167247772216797
132,True,greedy(combined),level2.txt,104,1341,117,0.02767491340637207
133,True,greedy(combined),level2.txt,104,1341,117,0.030913829803466797
134,True,greedy(combined),level2.txt,104,1341,117,0.02921748161315918
135,True,greedy(combined),level2.txt,104,1341,117,0.028457164764404297
136,True,greedy(combined),level2.txt,104,1341,117,0.09996652603149414
137,True,greedy(combined),level2.txt,104,1341,117,0.029100894927978516
138,True,greedy(combined),level2.txt,104,1341,117,0.027532339096069336
139,True,greedy(combined),level2.txt,104,1341,117,0.03688502311706543
140,True,astar(manhattan),level2.txt,78,30367,31,2.868220567703247
141,True,astar(manhattan),level2.txt,78,30367,31,3.046194553375244
142,True,astar(manhattan),level2.txt,78,30367,31,2.736330509185791
143,True,astar(manhattan),level2.txt,78,30367,31,2.7277629375457764
144,True,astar(manhattan),level2.txt,78,30367,31,2.7667179107666016
145,True,astar(manhattan),level2.txt,78,30367,31,2.8127737045288086
146,True,astar(manhattan),level2.txt,78,30367,31,2.8840763568878174
147,True,astar(manhattan),level2.txt,78,30367,31,2.9276514053344727
148,True,astar(manhattan),level2.txt,78,30367,31,2.9093728065490723
149,True,astar(manhattan),level2.txt,78,30367,31,2.8188464641571045
150,True,astar(combined),level2.txt,78,30305,51,3.0721006393432617
151,True,astar(combined),level2.txt,78,30305,51,3.1838619709014893
152,True,astar(combined),level2.txt,78,30305,51,3.114684820175171
153,True,astar(combined),level2.txt,78,30305,51,3.1499462127685547
154,True,astar(combined),level2.txt,78,30305,51,3.21728515625
155,True,astar(combined),level2.txt,78,30305,51,2.872500419616699
156,True,astar(combined),level2.txt,78,30305,51,3.0744075775146484
157,True,astar(combined),level2.txt,78,30305,51,3.148355484008789
158,True,astar(combined),level2.txt,78,30305,51,3.117347002029419
159,True,astar(combined),level2.txt,78,30305,51,3.371873617172241
200,True,greedy(manhattan),level3.txt,10,30,8,0.0
201,True,greedy(manhattan),level3.txt,10,30,8,0.0
202,True,greedy(manhattan),level3.txt,10,30,8,0.001003265380859375
203,True,greedy(manhattan),level3.txt,10,30,8,0.0010364055633544922
204,True,greedy(manhattan),level3.txt,10,30,8,0.0
205,True,greedy(manhattan),level3.txt,10,30,8,0.0015480518341064453
206,True,greedy(manhattan),level3.txt,10,30,8,0.0
207,True,greedy(manhattan),level3.txt,10,30,8,0.0
208,True,greedy(manhattan),level3.txt,10,30,8,0.0
209,True,greedy(manhattan),level3.txt,10,30,8,0.00099945068359375
210,True,greedy(combined),level3.txt,10,30,8,0.0009996891021728516
211,True,greedy(combined),level3.txt,10,30,8,0.0010020732879638672
212,True,greedy(combined),level3.txt,10,30,8,0.00099945068359375
213,True,greedy(combined),level3.txt,10,30,8,0.0010077953338623047
214,True,greedy(combined),level3.txt,10,30,8,0.00095367431640625
215,True,greedy(combined),level3.txt,10,30,8,0.0010082721710205078
216,True,greedy(combined),level3.txt,10,30,8,0.0
217,True,greedy(combined),level3.txt,10,30,8,0.0
218,True,greedy(combined),level3.txt,10,30,8,0.0
219,True,greedy(combined),level3.txt,10,30,8,0.0010004043579101562
220,True,astar(manhattan),level3.txt,10,76,20,0.0009999275207519531
221,True,astar(manhattan),level3.txt,10,76,20,0.0009999275207519531
222,True,astar(manhattan),level3.txt,10,76,20,0.0010008811950683594
223,True,astar(manhattan),level3.txt,10,76,20,0.0015125274658203125
224,True,astar(manhattan),level3.txt,10,76,20,0.0010008811950683594
225,True,astar(manhattan),level3.txt,10,76,20,0.0009996891021728516
226,True,astar(manhattan),level3.txt,10,76,20,0.0009996891021728516
227,True,astar(manhattan),level3.txt,10,76,20,0.001999378204345703
228,True,astar(manhattan),level3.txt,10,76,20,0.001001596450805664
229,True,astar(manhattan),level3.txt,10,76,20,0.0009996891021728516
230,True,astar(combined),level3.txt,10,76,20,0.001528024673461914
231,True,astar(combined),level3.txt,10,76,20,0.0019986629486083984
232,True,astar(combined),level3.txt,10,76,20,0.002000093460083008
233,True,astar(combined),level3.txt,10,76,20,0.0010020732879638672
234,True,astar(combined),level3.txt,10,76,20,0.0010013580322265625
